Ticker,Company Name,Sector,Industry,Exchange (Yahoo)
MYSL,"My Screen Mobile, Inc.",Communication Services,Advertising Agencies,OTC Markets OTCPK
NBB,Nuveen Taxable Municipal Income Fund,Financial Services,Asset Management,NYSE
NESF.L,NextEnergy Solar Fund Limited,Financial Services,Asset Management,LSE
NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,NYSE
NEXS.L,Nexus Infrastructure plc,Industrials,Engineering & Construction,LSE
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas E&P,NYSE
NWF.L,NWF Group plc,Energy,Oil & Gas Refining & Marketing,LSE
NWG,NatWest Group plc,Financial Services,Banks - Regional,NYSE
NXT,Nextpower Inc.,Technology,Solar,NasdaqGS
OCI.L,Oakley Capital Investments Limited,Financial Services,Asset Management,LSE
OGN.L,Origin Enterprises plc,Basic Materials,Agricultural Inputs,LSE
OKYO,OKYO Pharma Limited,Healthcare,Biotechnology,NasdaqCM
ONC,BeOne Medicines AG,Healthcare,Biotechnology,NasdaqGS
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",Financial Services,Asset Management,NYSE
OPTI,"Optec International, Inc.",Consumer Cyclical,Auto Parts,OTC Markets OTCPK
PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,NYSE
PATH,"UiPath, Inc.",Technology,Software - Infrastructure,NYSE
PAYP,PayPay Corporation,Technology,Software - Infrastructure,NasdaqGS
PCF,High Income Securities Fund,Financial Services,Asset Management,NYSE
PCTN.L,Picton Property Income Limited,Real Estate,REIT - Diversified,LSE
PEB,Pebblebrook Hotel Trust,Real Estate,REIT - Hotel & Motel,NYSE
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,NYSE
PEN,"Penumbra, Inc.",Healthcare,Medical Devices,NYSE
PETS.L,Pets at Home Group Plc,Consumer Cyclical,Specialty Retail,LSE
PFD,Flaherty & Crumrine Preferred Income Fund Inc.,Financial Services,Asset Management,NYSE
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,NasdaqGS
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,NYSE
PHAR,Pharming Group N.V.,Healthcare,Biotechnology,NasdaqGM
PHAR.L,Pharos Energy plc,Energy,Oil & Gas E&P,LSE
PLUS,ePlus inc.,Technology,Software - Application,NasdaqGS
PMO,Putnam Municipal Opportunities Trust,Financial Services,Asset Management,NYSE
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,NYSE
PRE,Prenetics Global Limited,Healthcare,Diagnostics & Research,NasdaqGM
PREM,Premier Air Charter Holdings Inc.,Industrials,Airlines,OTC Markets OTCPK
PRIM,Primoris Services Corporation,Industrials,Engineering & Construction,NYSE
PRM,"Perimeter Solutions, Inc.",Basic Materials,Specialty Chemicals,NYSE
PRTC,PureTech Health plc,Healthcare,Biotechnology,NasdaqGM
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,NYSE
PRV.L,Porvair plc,Industrials,Pollution & Treatment Controls,LSE
PTY,PIMCO Corporate & Income Opportunity Fund,Financial Services,Asset Management,NYSE
PXS,Pyxis Tankers Inc.,Energy,Oil & Gas Midstream,NasdaqCM
PZC.L,PZ Cussons plc,Consumer Defensive,Household & Personal Products,LSE
QLT.L,Quilter plc,Financial Services,Asset Management,LSE
QQ.L,QinetiQ Group plc,Industrials,Aerospace & Defense,LSE
RDW,Redwire Corporation,Industrials,Aerospace & Defense,NYSE
RENX,RenX Enterprises Corp.,Real Estate,Real Estate - Development,NasdaqCM
RGL.L,Regional REIT Limited,Real Estate,REIT - Office,LSE
RGP,"Resources Connection, Inc.",Industrials,Consulting Services,NasdaqGS
RIV,"RiverNorth Opportunities Fund, Inc.",Financial Services,Asset Management,NYSE
RM.L,RM plc,Technology,Software - Application,LSE
